@relation 'activity_recognition_PAMS01-weka.filters.unsupervised.attribute.Remove-R1-67,80-89,98-127'

@attribute CentroidAccX numeric
@attribute CentroidAccY numeric
@attribute CentroidAccZ numeric
@attribute CentroidGyroX numeric
@attribute CentroidGyroY numeric
@attribute CentroidGyroZ numeric
@attribute stdx numeric
@attribute stdy numeric
@attribute stdz numeric
@attribute Realstddev numeric
@attribute RADII numeric
@attribute Density numeric
@attribute MeanMagnitude numeric
@attribute AbsoluteDiffrence numeric
@attribute maxaccx numeric
@attribute maxaccy numeric
@attribute maxaccz numeric
@attribute maxgyrox numeric
@attribute maxgyroy numeric
@attribute maxgyroz numeric
@attribute class {Sitting,Standing,Running,Walking,cycling,DownStairs,UpStairs}

@data
1.980663,8.114069,3.183989,0.183628,-0.572167,-0.274402,33.803626,206.474222,133.737888,6.115683,8.268033,0.004226,10.227549,28.687302,4.33051,13.18547,9.67976,2.8335,1.46608,0.73212,UpStairs
1.813967,7.81647,3.730346,-0.924422,0.082071,0.008614,74.50374,324.753232,192.542563,7.692851,15.221586,0.000677,10.443631,40.685127,9.12909,16.83124,13.57512,2.07511,1.65942,1.23303,UpStairs
2.015678,7.285496,5.478412,0.17199,0.124219,0.233414,11.786584,101.457039,273.379046,6.217899,14.318333,0.000814,10.373232,27.874113,3.87442,11.04026,19.60851,3.02745,1.94255,2.24096,UpStairs
4.968268,8.006689,3.475185,0.63249,0.941923,1.010799,141.176364,176.018003,226.299703,7.372205,17.034577,0.000483,11.200597,36.871521,15.1128,16.09562,14.51305,3.72719,4.86157,3.51919,UpStairs
2.570354,8.605059,3.226487,0.458638,-0.425498,-0.366031,75.039077,329.576836,212.240483,7.854021,16.534257,0.000528,10.994719,41.338968,8.45512,17.5878,15.79874,2.97705,1.41751,1.24494,UpStairs
3.570534,6.936062,5.180034,-0.67015,0.174525,-0.26881,104.790679,219.087426,257.366251,7.623938,14.073574,0.000857,10.878041,47.004372,8.54072,14.2054,19.05545,4.32706,1.71103,0.58613,UpStairs
1.295022,6.472903,4.334223,-0.032407,0.290589,-0.126785,17.791524,202.235021,110.230039,5.746795,8.839151,0.003459,9.267152,28.418846,4.09947,12.41034,10.70328,3.24736,3.06105,1.98867,UpStairs
3.553176,7.5725,3.918531,0.647365,1.000229,0.795133,59.724102,124.859246,263.906996,6.696942,16.037076,0.000579,10.271693,32.485765,8.63529,13.81394,17.78952,3.55127,4.74734,3.56623,UpStairs
2.564251,8.094377,2.093608,0.351218,-0.304731,0.178432,27.903431,142.48887,67.023126,4.872529,9.726311,0.002596,9.624751,23.023335,5.17567,12.83591,6.66486,2.90344,1.48898,1.68354,UpStairs
2.164598,8.257302,2.166034,-0.853012,-0.050486,-0.398679,23.943842,281.851419,73.479424,6.158528,9.382505,0.002892,10.019679,33.69397,5.77062,16.5176,6.2345,2.90955,1.60169,0.06506,UpStairs
0.762853,7.747995,4.175906,0.181244,0.550357,-0.00342,97.339749,400.041262,186.604648,8.270343,13.640108,0.000941,11.217801,31.540273,8.15884,19.20269,11.03488,3.83532,2.71957,1.04733,UpStairs
3.117191,8.311052,2.600942,0.518623,0.538448,0.851332,15.412001,117.970729,98.759175,4.818111,7.573707,0.005498,10.014588,20.077004,4.64655,14.14853,8.99621,2.73362,1.49143,3.89488,UpStairs
-0.52864,4.501576,7.351576,0.09612,0.233564,0.250088,15.362876,102.605536,54.18257,4.149108,5.135056,0.01764,9.577118,2.135724,0.91099,8.55508,9.62828,0.82253,1.07512,1.18233,DownStairs
1.919731,8.047871,4.337276,-0.085765,0.142088,0.108977,41.195844,256.14766,34.656212,5.761942,11.879225,0.001425,10.069362,33.574978,3.90674,19.60851,6.99526,2.71499,1.13193,0.68661,DownStairs
2.384744,8.081389,5.845744,-0.800937,-0.081183,-0.277057,54.229009,248.003235,311.107728,7.831602,12.861473,0.001123,11.475751,52.172319,5.4085,19.02433,15.2373,2.65238,2.62092,0.44838,DownStairs
0.542945,8.962873,2.458187,-0.380752,-0.044684,-0.304515,49.122519,421.187021,155.455044,7.910528,12.53593,0.001212,10.949715,44.115837,3.75471,19.44271,8.47488,4.58974,3.12824,0.51679,DownStairs
1.335785,7.511988,5.168362,0.447245,-1.061165,-0.440036,51.040327,277.655854,292.099958,7.879062,11.13547,0.00173,10.773119,51.983947,4.84646,17.16583,13.81993,3.59739,1.51922,0.41539,DownStairs
2.60118,8.226658,3.149033,-0.367833,-0.848828,0.116737,59.556811,139.769561,107.088857,5.535479,9.288065,0.002981,10.160426,26.961214,7.81886,14.80694,8.29351,4.47031,2.85641,1.54824,DownStairs
2.504453,8.761581,2.802173,0.360013,-0.30986,-0.368537,33.136305,253.590516,351.956853,7.991769,16.261698,0.000555,10.913744,52.100409,5.65211,16.12375,17.98165,3.23636,1.30084,0.33292,DownStairs
1.063865,7.493792,3.7003,0.029689,-0.548739,-0.82971,54.289858,240.593655,152.715058,6.690281,11.189685,0.001705,9.435814,44.956235,4.76506,15.59583,14.14734,3.57539,0.74648,0.53573,DownStairs
1.959835,9.149143,4.174172,-0.375896,-1.886444,-0.464288,65.506501,296.330175,97.175866,6.775046,11.127094,0.001734,11.330978,37.853154,6.34284,18.8693,9.11592,2.39398,-0.37324,0.73029,DownStairs
1.748306,5.160285,4.041231,-0.16023,-0.092089,-0.390832,133.42561,229.048972,130.915613,7.024174,14.285027,0.000819,7.778713,44.685616,10.74877,14.98591,12.73236,3.48865,2.93063,0.3882,DownStairs
1.283071,8.211693,4.248573,0.110049,-0.724977,-0.651548,34.865559,343.487462,221.434218,7.744593,12.146506,0.001333,10.882026,46.140247,5.34027,19.60851,13.60505,3.29776,0.55925,0.65515,DownStairs
2.750297,7.405505,4.637509,-0.503504,-0.200394,-0.011697,192.559184,200.596797,149.260874,7.364895,15.833511,0.000602,10.608447,34.905836,13.53023,18.25459,12.74434,4.32279,2.99599,1.15087,DownStairs
0.523612,6.761945,6.315245,-0.545411,-0.587836,-0.193919,114.93386,249.207924,245.510049,7.80802,13.355816,0.001003,10.773698,44.909782,6.90248,17.94933,18.04929,3.69024,2.21744,0.82406,DownStairs
1.313937,7.826824,4.712027,-0.217408,-0.996872,-0.632246,15.876028,103.785354,193.140885,5.592873,10.422733,0.00211,10.032604,30.43278,3.66253,13.60745,15.09484,3.33105,0.79993,1.15209,DownStairs
0.715328,7.624456,4.966712,-0.155221,-1.103499,-0.623387,96.710392,306.477226,291.368706,8.334005,13.499795,0.000971,11.327313,43.786154,4.64475,16.90845,16.81029,3.36465,0.66462,1.9566,DownStairs
0.99946,7.783729,3.805644,0.483012,-0.772408,-0.496329,83.195687,185.802375,249.388003,7.199903,12.242416,0.001302,9.900635,48.962062,7.78355,16.66903,15.54615,3.71162,0.64294,0.52748,DownStairs
1.269938,7.840375,3.339431,-0.492725,-1.149343,-0.484966,38.306276,283.588846,57.50719,6.159564,11.740532,0.001476,9.60467,33.566381,4.84826,19.30265,8.08342,2.11879,-0.07819,0.92332,DownStairs
1.331057,7.71394,4.050151,0.139124,0.249264,-0.244133,73.852858,220.958433,361.715123,8.102632,15.725888,0.000614,10.388602,44.569856,6.57149,16.4356,18.23065,3.2834,3.43642,0.47281,DownStairs
0.537798,7.542513,3.399107,-0.204516,-0.255952,-0.131887,90.586716,267.10539,159.652604,7.192668,10.435083,0.002102,9.956857,41.307606,4.52684,15.76881,11.56459,2.04396,2.41475,1.47371,DownStairs
0.421559,9.177454,2.429037,-0.085369,-1.134407,-0.206074,43.475406,232.229985,67.726948,5.86031,10.940199,0.001824,10.192438,36.807847,4.98413,19.58577,6.53916,2.14475,0.78954,0.72785,DownStairs
1.523902,7.503967,3.734595,0.401949,-0.241689,-0.217773,18.299888,158.416865,281.192332,6.766898,10.677422,0.001962,9.852012,39.422145,3.4704,13.85046,12.97119,3.59983,2.04823,0.65271,DownStairs
1.613153,8.97269,4.705505,-0.416214,-0.842169,-0.093187,43.312058,86.966593,259.13103,6.24027,12.729896,0.001158,11.31744,32.307327,5.24989,14.34546,16.89468,1.4001,0.50946,0.78496,DownStairs
1.8585,9.887634,2.222118,0.440464,-0.236406,0.06185,26.427652,68.039878,37.086248,3.627034,7.119363,0.006619,10.679303,19.844245,4.87878,13.86841,6.20398,1.59375,1.57145,0.56413,Walking
0.805588,8.561845,3.550062,-0.218598,0.047343,0.089155,47.559387,76.70176,77.889623,4.496118,7.744021,0.005143,9.983226,21.834669,5.75686,14.08808,8.56765,1.96821,2.29716,0.6243,Walking
0.777576,9.822751,3.262997,0.385761,-0.278677,0.008154,49.192748,75.995017,88.285256,4.620314,7.077315,0.006738,11.049173,21.99862,5.38456,14.92964,9.01297,1.54091,2.23729,1.12949,Walking
1.059014,9.631156,0.256956,-0.188969,-0.107206,0.09215,21.105448,77.649695,28.038891,3.560815,6.307566,0.009518,9.919674,21.501242,3.20045,13.59308,2.47201,1.40041,0.97555,0.69028,Walking
1.206439,9.999922,0.761954,-0.032712,-0.048411,0.002932,19.348681,120.10153,27.447637,4.085313,6.8572,0.007408,10.328862,29.488529,3.56437,13.95401,3.55359,1.9957,1.43767,0.99632,Walking
0.809959,10.297702,1.191115,-0.039187,0.501491,0.128739,43.123948,95.64849,117.995596,5.067228,9.848631,0.0025,11.013477,27.473862,3.39618,13.72716,9.14046,1.84237,2.39673,1.03969,Walking
-0.13958,8.733748,3.139816,-0.508882,0.161481,0.165026,23.385935,54.206784,283.085423,6.005649,14.689704,0.000754,10.308434,26.964483,1.83097,13.05379,17.21192,1.84512,1.69759,1.66919,Walking
0.136468,9.565135,0.830191,0.210138,-0.478063,0.204638,52.140609,64.215218,35.227849,3.893375,6.508516,0.008663,10.080671,19.852534,3.27646,15.50844,3.93367,3.20216,1.79686,0.92241,Walking
1.596034,9.160935,0.190698,0.055772,-0.611568,0.18998,20.216203,97.307167,19.825992,3.706067,7.401775,0.00589,9.458284,26.661893,4.41371,15.5276,2.61447,2.40589,1.16187,1.31061,Walking
1.034654,9.946472,0.8509,-0.075717,-0.187411,0.15012,10.347178,100.247776,88.447284,4.461415,6.412298,0.009059,10.439689,28.30165,2.41814,13.0879,6.49547,1.85734,0.89767,1.03084,Walking
1.371938,9.93869,0.260788,0.196912,0.651211,-0.068601,16.516354,60.744095,18.628556,3.096595,5.32865,0.015786,10.227258,19.137427,3.19806,12.66593,2.86646,1.56351,1.0513,0.89797,Walking
1.162625,9.489418,0.565332,-0.224097,0.23228,0.191689,22.586249,99.293595,33.639865,3.943599,5.776434,0.012392,9.864899,23.863348,3.56317,15.00865,3.7176,1.37933,0.97891,0.97433,Walking
-0.745914,9.940485,1.751358,-0.239521,-0.52232,0.008765,31.995935,108.749179,30.027869,4.132469,6.60287,0.008297,10.435264,26.773482,1.52271,15.32948,5.4911,2.57968,0.4331,0.77336,Walking
1.11564,10.47942,1.228106,0.285457,-0.361848,0.238941,31.845991,80.396689,13.450198,3.545319,6.993618,0.006983,10.801608,21.952024,4.28562,16.61756,2.63123,2.24676,0.71929,0.83994,Walking
0.554018,8.308299,1.715625,0.329196,-0.006353,0.227884,18.195583,83.043324,68.962408,4.125546,8.13202,0.004442,8.949386,25.773126,3.36625,12.30261,8.2169,2.94101,2.02074,1.00976,Walking
1.606929,9.858724,2.410422,-0.212398,0.327394,0.065792,15.253437,91.328705,294.268709,6.331278,14.370061,0.000805,11.324677,34.53986,3.86065,14.58787,16.70075,2.56166,1.93064,2.22111,Walking
1.198358,9.426511,1.230559,0.011607,-0.210717,0.175593,18.828751,93.05365,22.469577,3.665406,5.774731,0.012403,9.842306,24.915784,2.96163,13.73075,5.1212,2.11573,2.07755,0.98563,Walking
1.00742,9.599552,1.284191,0.114506,0.169209,0.330569,6.596243,42.209546,18.323933,2.59094,4.152477,0.033359,9.856087,18.818376,2.23439,11.73518,3.04243,1.321,1.88849,1.34787,Walking
1.272578,9.058821,0.971088,0.101893,-0.366977,0.041905,18.903335,72.261359,17.325087,3.293779,4.780328,0.021865,9.410729,20.670994,3.11905,13.53981,3.81456,2.53051,0.76664,0.54611,Walking
1.127252,8.14675,1.789906,-0.169607,-0.004551,0.091081,32.155115,80.963088,72.00491,4.302594,7.613015,0.005413,9.074288,21.173931,4.75848,12.12484,8.26478,1.75502,1.97798,1.09589,Walking
1.95708,10.53772,2.088403,-0.031032,-0.661415,0.010904,77.107444,118.635592,149.125983,5.872555,12.581095,0.001199,11.578097,37.343219,7.81108,16.56009,12.53185,2.04976,1.30206,1.08123,Walking
1.893153,9.788454,0.610403,0.095205,0.101037,-0.05397,17.088695,127.571213,18.063902,4.033904,7.23342,0.006311,10.156507,30.250078,3.46381,15.10143,2.67013,1.85001,1.96424,1.5632,Walking
0.52822,9.059719,1.527919,0.120067,0.436954,0.056688,11.40336,103.142587,73.988225,4.342052,9.005086,0.003271,9.606925,27.911315,2.1871,15.3175,7.99304,2.20828,1.5742,1.07818,Walking
0.511281,9.911817,1.43634,-0.041265,-0.050763,0.07593,23.250215,185.994838,21.127427,4.799713,8.110417,0.004477,10.301148,31.656,2.50433,17.94753,3.90434,2.46179,2.17712,1.31397,Walking
1.042017,10.015965,2.582205,-0.180176,-0.391749,0.0383,8.692713,142.93525,150.353808,5.495287,10.158335,0.002279,11.074392,33.574792,2.45885,14.38736,11.95664,1.5125,0.55497,1.62185,Walking
0.918176,9.41406,1.67648,-0.203082,-0.191996,-0.081886,26.792945,144.024739,94.072753,5.146751,9.489072,0.002796,10.000137,38.517214,4.96557,13.55417,10.22623,2.25898,1.64811,1.28526,Walking
1.083797,9.823471,1.435803,0.742873,-0.061881,0.182802,19.986824,111.67546,71.433796,4.506618,7.297637,0.006146,10.404237,30.586549,4.1707,15.64551,8.69394,3.6603,1.53358,1.175,Walking
1.646072,8.934741,0.55719,-0.233075,-0.038822,0.298621,30.580338,140.217343,85.136068,5.05899,7.230087,0.00632,9.652671,31.33398,4.6244,14.62498,5.74668,2.53173,2.87259,1.5122,Walking
1.995985,10.080187,1.118093,-0.133534,-0.038697,0.018662,34.74176,137.707402,89.251695,5.115671,7.220389,0.006345,10.824686,34.793578,6.605,14.85961,6.58525,2.08,2.11207,1.93553,Walking
1.205658,9.886257,2.450286,-0.016249,-0.57522,0.317802,34.980693,202.862804,36.325281,5.236113,10.292514,0.002191,10.712848,32.966316,3.80199,19.37029,6.94678,2.02105,2.27395,1.31397,Walking
1.687253,10.560225,1.0319,0.222173,0.309953,0.135917,37.152955,198.9891,116.970814,5.94233,9.386975,0.002888,11.328894,41.261487,4.84826,18.03373,9.62349,1.95813,1.81427,1.85062,Walking
2.075594,9.995375,2.393903,-0.287595,0.320583,0.337962,31.242591,162.618313,32.088982,4.753419,7.724221,0.005183,10.708098,36.835784,5.67905,16.81508,4.50649,1.91323,2.61023,1.5687,Walking
0.904769,8.080191,2.615307,-0.011239,-0.208549,-0.052106,35.529627,170.733852,158.274949,6.037702,10.342845,0.002159,9.708695,33.984481,4.61782,14.7842,11.17494,2.40773,2.52043,1.45111,Walking
1.265577,8.91541,2.544078,-0.059071,-0.360379,0.178982,18.51336,141.703077,169.856929,5.745201,13.20165,0.001038,10.491783,26.68258,4.16771,14.6184,14.00788,3.02103,0.72082,0.90988,Walking
1.312262,9.99316,2.702515,0.245171,0.444861,-0.020892,10.176281,126.198963,174.428271,5.574975,12.464152,0.001234,10.948646,36.621612,2.72879,14.81233,14.53221,1.92209,2.81212,0.96364,Walking
1.122102,8.648456,2.469319,0.060782,-0.282373,0.329714,46.273321,174.950496,38.339354,5.094734,9.089085,0.003181,9.548659,32.211566,5.6563,15.56411,5.43544,3.4856,1.53846,0.84116,Walking
0.816422,8.605299,3.17202,0.218598,-0.485455,0.225075,10.733781,157.239437,133.536956,5.490994,11.145035,0.001725,10.375495,21.712875,3.06578,14.42387,11.38503,3.91778,2.19789,1.0736,Walking
1.749143,9.596381,2.711492,0.031093,-0.605643,0.434171,58.419818,414.768274,151.511404,7.903793,11.68451,0.001497,11.164896,56.476116,7.65785,19.60851,11.71303,3.66947,0.70158,3.57112,Walking
1.115101,9.832089,1.433467,0.1788,0.52122,0.275378,23.959179,127.78021,93.420645,4.951364,9.250474,0.003017,10.4799,33.073975,3.46202,14.34665,9.88326,1.85398,3.05799,1.79258,Walking
0.843237,9.44776,1.699823,0.120096,-0.393948,0.075198,32.935535,218.511196,132.062477,6.192812,9.488183,0.002796,10.461338,41.232158,4.55856,16.3518,8.81844,2.92666,0.96761,1.19882,Walking
-0.111329,9.500373,2.112702,-0.324981,-0.113895,-0.125257,34.418811,151.603452,135.117289,5.666918,11.109041,0.001742,10.371944,35.612012,2.22601,15.34145,11.48319,2.83258,1.99417,0.63408,Walking
-0.02472,9.254488,2.495956,0.082132,0.020861,0.058553,18.068767,247.956724,66.945243,5.770362,9.629513,0.002675,10.336885,35.457715,2.07278,18.51436,7.95833,3.37442,1.5629,1.71623,Walking
1.380678,9.383297,1.519959,-0.47797,-0.071287,0.122416,38.755344,172.94995,76.784983,5.371129,8.854745,0.00344,10.059726,37.11922,4.43885,14.79078,9.36851,1.54152,2.26387,0.91202,Walking
1.621173,9.511504,1.928171,0.615172,-0.572411,0.035156,28.202898,112.425642,60.837018,4.488491,7.584352,0.005475,10.45481,22.751401,3.57215,16.30092,6.54395,2.57724,1.21715,1.0006,Walking
1.333629,8.230846,2.693776,0.240802,0.127184,0.176206,15.6595,56.106953,206.622798,5.276261,12.139006,0.001335,9.57282,26.4165,4.28682,13.2531,13.74511,2.32495,2.35458,0.81001,Walking
1.904168,10.473255,0.574428,-0.279593,0.400452,0.196607,22.166196,186.318719,67.845801,5.256717,8.54477,0.003829,11.04425,36.018051,4.56455,17.29571,6.74207,0.97647,3.34082,1.5516,Walking
1.028729,9.21648,1.920689,-0.255494,-0.524306,-0.030603,22.991411,122.234289,107.817888,5.030344,8.444336,0.003967,10.01628,33.535699,3.10947,14.48013,10.02991,2.88145,1.24158,0.91783,Walking
