@relation 'activity_recognition_PAMS01-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R64-65-weka.filters.unsupervised.attribute.Remove-R61-62-weka.filters.unsupervised.attribute.Remove-R4-6,10-12,16-18,28-30,34-36,40-42,58-61,74-83,92-121-weka.filters.unsupervised.attribute.Remove-R34-36-weka.filters.unsupervised.attribute.Remove-R13-15-weka.filters.unsupervised.attribute.Remove-R25-27-weka.filters.unsupervised.attribute.Remove-R41-42,44'

@attribute accX0 numeric
@attribute accy0 numeric
@attribute accz0 numeric
@attribute accX1 numeric
@attribute accy1 numeric
@attribute accz1 numeric
@attribute accX2 numeric
@attribute accy2 numeric
@attribute accz2 numeric
@attribute accX3 numeric
@attribute accy3 numeric
@attribute accz3 numeric
@attribute accX4 numeric
@attribute accy4 numeric
@attribute accz4 numeric
@attribute accX5 numeric
@attribute accy5 numeric
@attribute accz5 numeric
@attribute accX6 numeric
@attribute accy6 numeric
@attribute accz6 numeric
@attribute accX7 numeric
@attribute accy7 numeric
@attribute accz7 numeric
@attribute accX8 numeric
@attribute accy8 numeric
@attribute accz8 numeric
@attribute accX9 numeric
@attribute accy9 numeric
@attribute accz9 numeric
@attribute CentroidAccX numeric
@attribute CentroidAccY numeric
@attribute CentroidAccZ numeric
@attribute CentroidGyroX numeric
@attribute CentroidGyroY numeric
@attribute CentroidGyroZ numeric
@attribute stdx numeric
@attribute stdy numeric
@attribute stdz numeric
@attribute Realstddev numeric
@attribute MeanMagnitude numeric
@attribute maxaccx numeric
@attribute maxaccy numeric
@attribute maxaccz numeric
@attribute maxgyrox numeric
@attribute maxgyroy numeric
@attribute maxgyroz numeric
@attribute class {Sitting,Standing,Running,Walking,DownStairs,UpStairs}

@data
0.15562,1.8148,9.39006,-0.24361,2.04345,9.30087,0.18316,2.16496,9.32961,-0.08021,1.84294,9.32123,-0.08739,2.03148,9.3314,-0.01377,1.80463,9.41101,0.10415,1.77111,9.38407,0.01556,1.93751,9.29968,0.02933,1.91716,9.3326,-0.27294,1.66457,9.32661,-0.02101,1.899261,9.342714,-0.021562,-0.027063,-0.001711,0.213403,0.201415,0.013342,0.20692,9.536017,0.18316,2.16496,9.41101,-0.00519,0.05437,0.02993,Sitting
-0.03112,1.82917,9.38228,-0.12989,2.00993,9.23623,0.21368,1.74537,9.31344,-0.00359,1.92434,9.35654,-0.21249,1.96145,9.32721,0.10116,2.07338,9.32123,-0.00838,1.88304,9.28292,-0.17478,1.88124,9.2901,0.15323,1.8986,9.40023,-0.25319,1.87646,9.38707,-0.034537,1.908298,9.329725,-0.016889,0.009958,0.014081,0.225172,0.075948,0.024586,0.180473,9.524545,0.21368,2.07338,9.40023,0.01038,0.19151,0.05162,Sitting
0.13228,2.00754,9.26197,-0.04908,1.9423,9.31344,-0.17597,1.85551,9.26676,-0.17597,1.9405,9.36253,0.04968,1.97402,9.33918,0.06225,1.93392,9.34936,-0.28371,2.03387,9.35594,0.10774,2.04465,9.33799,-0.19273,1.95008,9.30806,0.10116,2.02071,9.28591,-0.042435,1.97031,9.318114,-0.022449,-0.000763,0.00055,0.209651,0.030092,0.012168,0.158717,9.525486,0.13228,2.04465,9.36253,0.00061,0.11393,0.02779,Sitting
-0.25259,1.86867,9.27813,0.21727,1.99377,9.34517,0.08499,1.90519,9.31763,-0.11253,1.95187,9.32961,-0.0018,1.99916,9.37091,-0.08559,1.93691,9.28292,-0.23224,1.95786,9.26496,0.05746,2.00455,9.32362,-0.15323,1.93392,9.31045,0.31903,1.93392,9.3739,-0.015923,1.948582,9.31973,-0.021472,-0.002046,0.004124,0.318184,0.016664,0.01249,0.18637,9.523014,0.31903,2.00455,9.3739,-0.00061,0.15211,0.03879,Sitting
-0.09457,2.03208,9.30327,-0.11313,2.01233,9.2889,-0.05148,2.03866,9.30925,0.04369,2.01173,9.34098,-0.22326,1.95068,9.32182,0.25857,2.12845,9.43375,-0.57461,1.72383,9.24641,0.11372,1.88903,9.26616,-0.2059,2.15777,9.25658,-0.24241,1.99557,9.30985,-0.108938,1.994013,9.307697,-0.017136,-0.02196,0.005071,0.468596,0.134882,0.025671,0.250828,9.522616,0.25857,2.15777,9.43375,0.02413,0.08216,0.04948,Sitting
-0.07542,1.98419,9.29609,0.2897,1.98659,9.41699,-0.1233,2.05901,9.26137,0.16879,1.99976,9.35115,0.03232,1.89142,9.29848,-0.18794,2.09193,9.36851,0.02693,1.99078,9.2907,0.09697,1.99138,9.30267,0.06823,2.04644,9.29968,0.17837,1.816,9.31285,0.047465,1.98575,9.319849,-0.013254,-0.022143,0.006261,0.193744,0.058294,0.018825,0.164579,9.53047,0.2897,2.09193,9.41699,0.00092,0.1237,0.04917,Sitting
-0.06285,2.00335,9.28471,0.00838,1.96025,9.27993,-0.04609,2.09732,9.2919,0.11432,2.17872,9.32781,0.04549,1.99796,9.31823,-0.03352,2.07637,9.25898,0.0395,1.92614,9.33978,-0.13946,2.00814,9.27693,-0.07422,2.04585,9.32063,-0.02095,2.0626,9.37091,-0.01694,2.03567,9.306981,-0.022326,-0.013622,0.007698,0.046494,0.047659,0.010572,0.102335,9.527503,0.11432,2.17872,9.37091,0.00275,0.07605,0.02993,Sitting
-0.1221,1.90698,9.34337,-0.0006,2.09193,9.26736,0.06644,2.05782,9.27334,0.13886,2.11707,9.37809,-0.0018,1.94768,9.31524,0.08021,1.76393,9.30806,0.30406,2.0662,9.24341,-0.26815,1.78967,9.32242,-0.2053,1.99796,9.26795,0.13587,1.86389,9.38467,0.012749,1.960313,9.310391,-0.026938,0.003023,0.039005,0.268382,0.144019,0.020874,0.208153,9.516715,0.30406,2.11707,9.38467,-0.00183,0.18601,0.21289,Sitting
-0.02693,1.8567,9.40562,-0.02993,1.87167,9.42118,0.01437,1.81121,9.3727,0.07422,1.86329,9.37569,-0.07003,1.75196,9.34816,-0.05866,1.95247,9.28412,-0.1658,1.93212,9.21229,-0.11851,1.97043,9.27873,0.19154,1.93511,9.35474,0.38068,1.95247,9.43435,0.019095,1.889743,9.348758,-0.011727,-0.045876,-0.00956,0.235174,0.045504,0.044844,0.180422,9.539358,0.38068,1.97043,9.43435,0.02841,0.11576,0.05498,Sitting
-0.07781,2.07338,9.27035,0.14784,1.89022,9.34038,0.57581,2.01771,9.3314,0.24541,2.00275,9.2925,0.32681,1.87945,9.32661,0.34177,1.93451,9.42956,0.50039,2.03627,9.36193,0.26097,1.92254,9.34337,0.0838,1.88184,9.36253,0.10116,1.91177,9.28112,0.250615,1.955044,9.333975,-0.018234,-0.030207,0.005741,0.350978,0.04543,0.019485,0.203935,9.541895,0.57581,2.07338,9.42956,-0.00702,0.02291,0.04551,Sitting
