@relation 'activity_recognition'

@attribute CentroidAccX numeric
@attribute CentroidAccY numeric
@attribute CentroidAccZ numeric
@attribute class {sitting,standing,walking,stairs_down,stairs_up}

@data
-0.0589,-0.546,9.9403,sitting
-0.0708,-0.5628,9.9164,sitting
-0.078,-0.5795,9.9283,sitting
-0.0661,-0.558,9.8972,sitting
-0.1211,-0.5867,9.9546,sitting
-0.0924,-0.5628,9.9307,sitting
-0.0493,-0.5652,9.9403,sitting
-0.1019,-0.5963,9.9451,sitting
-0.0541,-0.4982,9.902,sitting
-0.0541,-0.5436,9.9331,sitting
-0.0541,-0.5652,9.9307,sitting
-0.0397,-0.5532,9.9068,sitting
-0.0541,-0.5771,9.9355,sitting
-0.1043,-0.6154,9.914,sitting
-0.0349,-0.5843,9.9355,sitting
-0.0445,-0.5843,9.9092,sitting
-0.0995,-0.5365,9.9068,sitting
-0.0589,-0.5676,9.9427,sitting
-0.0876,-0.5436,9.8613,sitting
-0.0876,-0.5676,9.9259,sitting
-0.1881,-0.5101,9.8829,sitting
0.0273,-0.6011,9.914,sitting
-0.0685,-0.5939,9.9307,sitting
-0.09,-0.5341,9.8948,sitting
-0.1019,-0.491,9.9451,sitting
-0.0637,-0.5604,9.9187,sitting
-0.0708,-0.5819,9.9092,sitting
-0.0613,-0.625,9.9642,sitting
-0.0924,-0.6178,9.9068,sitting
-0.1187,-0.6202,9.9331,sitting
-0.1067,-0.6178,9.9379,sitting
-0.0302,-0.5747,9.9187,sitting
-0.0685,-0.5532,9.8996,sitting
-0.0062,-0.5556,9.8709,sitting
-0.0565,-0.5365,9.9259,sitting
-0.0493,-0.5484,9.914,sitting
-0.0661,-0.546,9.9044,sitting
-0.1115,-0.546,9.914,sitting
-0.0565,-0.5795,9.8972,sitting
-0.0613,-0.5843,9.9092,sitting
-0.0565,-0.5843,9.9283,sitting
-0.0397,-0.6058,9.8924,sitting
-0.0278,-0.5388,9.902,sitting
-0.0373,-0.5412,9.8996,sitting
-0.0469,-0.5604,9.8996,sitting
-0.0541,-0.5795,9.9164,sitting
-0.0373,-0.5317,9.9235,sitting
-0.0469,-0.5819,9.8924,sitting
-0.0206,-0.5436,9.9211,sitting
-0.0613,-0.5365,9.902,sitting
-0.0589,-0.5652,9.8924,sitting
-0.0517,-0.5436,9.914,sitting
-0.0325,-0.5652,9.9116,sitting
-0.0565,-0.5652,9.9164,sitting
-0.011,-0.5819,9.8757,sitting
-0.0972,-0.5939,9.8852,sitting
-0.0661,-0.5771,9.9044,sitting
-0.0373,-0.5771,9.8852,sitting
-0.0756,-0.5556,9.8996,sitting
-0.0014,-0.5723,9.9044,sitting
-0.0469,-0.5699,9.9044,sitting
-0.0254,-0.613,9.9235,sitting
-0.0637,-0.5556,9.9187,sitting
-0.0493,-0.5699,9.9164,sitting
-0.0661,-0.5508,9.9235,sitting
-0.0278,-0.5149,9.8829,sitting
-0.0852,-0.5436,9.9116,sitting
0.0033,-0.558,9.8757,sitting
-0.0541,-0.5388,9.9211,sitting
-0.0062,-0.5891,9.8733,sitting
-0.1187,-0.5867,9.8852,sitting
-0.078,-0.5484,9.8757,sitting
0.0033,-0.5867,9.8805,sitting
-0.0565,-0.5915,9.9187,sitting
-0.0613,-0.558,9.8876,sitting
0.0009,-0.5532,9.9044,sitting
-0.0876,-0.5915,9.8948,sitting
-0.0852,-0.6082,9.8709,sitting
-0.0302,-0.6226,9.8757,sitting
-0.0302,-0.5891,9.8972,sitting
-0.0924,-0.6154,9.9283,sitting
-0.0685,-0.5987,9.8972,sitting
-0.0469,-0.5125,9.8852,sitting
-0.0445,-0.5245,9.9187,sitting
-0.0661,-0.546,9.8948,sitting
-0.0182,-0.5365,9.8972,sitting
-0.0517,-0.5532,9.9044,sitting
-0.0589,-0.479,9.9092,sitting
-0.0062,-0.5819,9.8972,sitting
-0.023,-0.5723,9.9092,sitting
0.0057,-0.5676,9.9235,sitting
-0.0254,-0.5819,9.8781,sitting
-0.0828,-0.6154,9.8876,sitting
-0.0637,-0.5747,9.8996,sitting
0.0225,-0.5987,9.902,sitting
0.0368,-0.5508,9.8733,sitting
-0.3245,-0.4934,9.8278,sitting
-0.1163,-0.7327,10.0097,sitting
